"STATION","NAME","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-21","56","H,,S","62",",,W","52",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-22","63","H,,S","79",",,W","54",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-23","60","H,,S","68",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-24","62","H,,S","74",",,W","53",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-25","66","H,,S","77",",,W","57",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-26","68","H,,S","76",",,W","60",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-27","66","H,,S","74",",,W","61",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-28","65","H,,S","78",",,W","60",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-29","71","H,,S","80",",,W","63",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-30","69","H,,S","78",",,W","62",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-05-31","69","H,,S","79",",,W","63",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-01","62","H,,S","63",",,W","52",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-02","53","H,,S","56",",,W","51",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-03","58","H,,S","68",",,W","53",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-04","59","H,,S","67",",,W","55",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-05","60","H,,S","69",",,W","57",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-06","66","H,,S","79",",,W","59",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-07","64","H,,S","71",",,W","56",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-08","66","H,,S","73",",,W","61",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-09","70","H,,S","85",",,W","64",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-10","74","H,,S","79",",,W","65",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-11","75","H,,S","87",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-12","78","H,,S","85",",,W","71",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-13","80","H,,S","88",",,W","67",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-14","75","H,,S","86",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-15","72","H,,S","81",",,W","66",",,W"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-06-16","69","H,,S","79",",,W","66",",,W"
